Name	Control
LNCaP_AP4	inputGSE28264
LNCaP_AR	inputGSE83860
LNCaP_ARID1A	-
LNCaP_SMARCC1	inputGSE110655
LNCaP_BRD4	inputGSE118247
LNCaP_CHD1	inputGSE64528
LNCaP_LSD1_K114me2	inputGSE64528
LNCaP_CK2A	-
LNCaP_CREB1	-
LNCaP_CREB5	inputGSE137775
LNCaP_CTBP1	input1hGSE58428
LNCaP_CTBP2	input24hGSE58428
LNCaP_CTCF	inputENCSR000DMG
LNCaP_ERG	inputGSE110655
LNCaP_ETV1	inputGSE47120
LNCaP_EZH2	inputGSE62492
LNCaP_FOXA1	inputGSE83860
LNCaP_FOXP1	inputGSE62492
LNCaP_GATA2	inputGSE69043
LNCaP_GRHL2	-
LNCaP_HIF1A	inputGSE114732
LNCaP_HNF4G	inputGSE85558
LNCaP_HOXB13	-
LNCaP_LMNA	-
LNCaP_LMNB1	-
LNCaP_MED1	-
LNCaP_MED12	inputGSE27823
LNCaP_MEN1	inputGSE132827
LNCaP_MRE11	-
LNCaP_MTOR	inputGSE93845
LNCaP_MYBL2	inputGSE124957
LNCaP_MYC	inputGSE73994
LNCaP_NANOG	inputGSE74799
LNCaP_NKX3_1	inputGSE28264
LNCaP_NMYC	inputGSE117304
LNCaP_OCT1	inputGSE77770
LNCaP_P300	-
LNCaP_P65	inputGSE83860
LNCaP_PIAS1	inputGSE83860
LNCaP_POLR2A	inputGSE28264
LNCaP_PSF	inputGSE45124
LNCaP_RB1	-
LNCaP_REST	inputGSE119385
LNCaP_RUNX1	inputGSE62492
LNCaP_SMARCA4	-
LNCaP_SUZ12	inputGSE39459
LNCaP_TCF7L2	inputGSE51621
LNCaP_TET2	inputGSE66037
LNCaP_TLE3	-
LNCaP_TOP1	inputGSE63202
LNCaP_TRIM24	inputGSE69331
LNCaP_TRIM28	-
LNCaP_WDHD1	-
LNCaP_WDR5	inputGSE55279
LNCaP_XBP1s	inputGSE121880
LNCaP_AR_ET	inputGSE83860
LNCaP_ARID1A_ET	-
LNCaP_HIF1A_ET	inputGSE114732
LNCaP_NMYC_ET	inputGSE117304
LNCaP_XBP1s_ET	inputGSE121880
LNCaP_MYBL2_ET	inputGSE124957
LNCaP_MED1_ET	-
LNCaP_NKX3_1_ET	inputGSE28264
LNCaP_POLR2A_ET	inputGSE28264
LNCaP_PSF_ET	inputGSE45124
LNCaP_WDR5_ET	inputGSE55279
LNCaP_CTBP1_ET	input1hGSE58428
LNCaP_CTBP2_ET	input24hGSE58428
LNCaP_FOXP1_ET	inputGSE62492
LNCaP_RUNX1_ET	inputGSE62492
LNCaP_TOP1_ET	inputGSE63202
LNCaP_MRE11_ET	-
LNCaP_CHD1_ET	inputGSE64528
LNCaP_LSD1_K114me2_ET	inputGSE64528
LNCaP_GATA2_ET	inputGSE69043
LNCaP_TRIM24_ET	inputGSE69331
LNCaP_OCT1_ET	inputGSE77770
LNCaP_FOXA1_ET	inputGSE83860
LNCaP_P65_ET	inputGSE83860
LNCaP_PIAS1_ET	inputGSE83860
LNCaP_MTOR_ET	inputGSE93845
LNCaP_HOXB13_ET	-
LNCaP_SMARCA4_ET	-
LNCaP_TLE3_ET	-
LNCaP_TRIM28_ET	-
LNCaP_WDHD1_ET	-