Name	Unit	Fastq1	Fastq2	Library
LNCaP_SMARCC1	1	SRR7430594	-	Single
LNCaP_ERG	1	SRR7430591	-	Single
LNCaP_HIF1A	1	SRR7192346	-	Single
LNCaP_NMYC	1	SRR7536833	-	Single
LNCaP_BRD4	1	SRR7656030	-	Single
LNCaP_REST	1	SRR7779456	-	Single
LNCaP_REST	2	SRR7779457	-	Single
LNCaP_XBP1s	1	SRR8115022	-	Single
LNCaP_XBP1s	2	SRR8115024	-	Single
LNCaP_MYBL2	1	SRR8434758	-	Single
LNCaP_MYBL2	2	SRR8434760	-	Single
LNCaP_MED1	1	SRR8451257	-	Single
LNCaP_MEN1	1	SRR9310017	-	Single
LNCaP_CREB5	1	SRR10153165	-	Single
LNCaP_CREB5	2	SRR10153166	-	Single
LNCaP_MED12	1	SRR122335	-	Single
LNCaP_P300	1	SRR122333	-	Single
LNCaP_NKX3_1	1	SRR203392	-	Single
LNCaP_POLR2A	1	SRR203398	-	Single
LNCaP_POLR2A	2	SRR203399	-	Single
LNCaP_AP4	1	SRR191720	-	Single
LNCaP_CTCF	1	SRR575129	-	Single
LNCaP_CTCF	2	SRR575130	-	Single
LNCaP_SUZ12	1	SRR524717	-	Single
LNCaP_PSF	1	SRR772071	-	Single
LNCaP_ETV1	1	SRR863535	-	Single
LNCaP_TCF7L2	1	SRR1015789	-	Single
LNCaP_WDR5	1	SRR1175536	-	Single
LNCaP_CTBP1	1	SRR1390647	-	Single
LNCaP_CTBP2	1	SRR1390648	-	Single
LNCaP_CK2A	1	SRR1425187	-	Single
LNCaP_EZH2	1	SRR1616003	-	Single
LNCaP_FOXP1	1	SRR1615999	-	Single
LNCaP_RUNX1	1	SRR1616002	-	Single
LNCaP_CREB1	1	SRR1642996	-	Single
LNCaP_CREB1	2	SRR1642997	-	Single
LNCaP_TOP1	1	SRR1648903	-	Single
LNCaP_MRE11	1	SRR1648885	-	Single
LNCaP_CHD1	1	SRR1735553	-	Single
LNCaP_LSD1_K114me2	2	SRR1735555	-	Single
LNCaP_TET2	1	SRR1810132	-	Single
LNCaP_GATA2	1	SRR2033029	-	Single
LNCaP_TRIM24	1	SRR2043645	-	Single
LNCaP_MYC	1	SRR2646265	-	Single
LNCaP_MYC	2	SRR2646266	-	Single
LNCaP_NANOG	1	SRR2930937	-	Single
LNCaP_RB1	1	SRR3031818	-	Paired
LNCaP_OCT1	1	SRR3159896	-	Single
LNCaP_GRHL2	1	SRR3379511	-	Single
LNCaP_GRHL2	2	SRR3379512	-	Single
LNCaP_GRHL2	3	SRR3379513	-	Single
LNCaP_GRHL2	4	SRR3379514	-	Single
LNCaP_GRHL2	5	SRR3379515	-	Single
LNCaP_GRHL2	6	SRR3379516	-	Single
LNCaP_GRHL2	7	SRR3379517	-	Single
LNCaP_GRHL2	8	SRR3379518	-	Single
LNCaP_AR	1	SRR3728821	-	Single
LNCaP_AR	2	SRR3728822	-	Single
LNCaP_AR	3	SRR3728823	-	Single
LNCaP_AR	4	SRR3728824	-	Single
LNCaP_FOXA1	1	SRR3728837	-	Single
LNCaP_FOXA1	2	SRR3728838	-	Single
LNCaP_FOXA1	3	SRR3728839	-	Single
LNCaP_FOXA1	4	SRR3728840	-	Single
LNCaP_P65	1	SRR3728873	-	Single
LNCaP_P65	2	SRR3728874	-	Single
LNCaP_P65	3	SRR3728875	-	Single
LNCaP_P65	4	SRR3728876	-	Single
LNCaP_PIAS1	1	SRR3728853	-	Single
LNCaP_PIAS1	2	SRR3728854	-	Single
LNCaP_PIAS1	3	SRR3728855	-	Single
LNCaP_PIAS1	4	SRR3728856	-	Single
LNCaP_HNF4G	1	SRR4025881	-	Single
LNCaP_MTOR	1	SRR5189296	-	Single
LNCaP_MTOR	2	SRR5189297	-	Single
LNCaP_ARID1A	1	SRR5238077	-	Single
LNCaP_ARID1A	2	SRR5238079	-	Single
LNCaP_HOXB13	1	SRR5238089	-	Single
LNCaP_HOXB13	2	SRR5238091	-	Single
LNCaP_HOXB13	3	SRR5238093	-	Single
LNCaP_SMARCA4	1	SRR5238081	-	Single
LNCaP_SMARCA4	2	SRR5238083	-	Single
LNCaP_TLE3	1	SRR5238095	-	Single
LNCaP_TLE3	2	SRR5238097	-	Single
LNCaP_TRIM28	1	SRR5238099	-	Single
LNCaP_TRIM28	2	SRR5238101	-	Single
LNCaP_WDHD1	1	SRR5238103	-	Single
LNCaP_WDHD1	2	SRR5238105	-	Single
LNCaP_LMNA	1	SRR5520244	-	Single
LNCaP_LMNB1	1	SRR5520245	-	Single
input1hGSE58428	1	SRR1390651	-	Single
input24hGSE58428	1	SRR1390652	-	Single
inputENCSR000DMG	1	SRR575115	-	Single
inputGSE110655	1	SRR7430603	-	Single
inputGSE114732	1	SRR7192358	-	Single
inputGSE117304	1	SRR7536832	-	Single
inputGSE118247	1	SRR7656036	-	Single
inputGSE119385	1	SRR7779458	-	Single
inputGSE119385	2	SRR7779459	-	Single
inputGSE121880	1	SRR8115021	-	Single
inputGSE121880	2	SRR8115023	-	Single
inputGSE124957	1	SRR8434754	-	Single
inputGSE124957	2	SRR8434756	-	Single
inputGSE132827	1	SRR9310020	-	Single
inputGSE135574	1	SRR9929776	-	Single
inputGSE137775	1	SRR10153167	-	Single
inputGSE137775	2	SRR10153168	-	Single
inputGSE27823	1	SRR122337	-	Single
inputGSE27823	2	SRR122338	-	Single
inputGSE28264	1	SRR191721	-	Single
inputGSE28264	2	SRR191722	-	Single
inputGSE39459	1	SRR524718	-	Single
inputGSE45124	1	SRR772073	-	Single
inputGSE47120	1	SRR863539	-	Single
inputGSE49832	1	SRR951076	-	Single
inputGSE51621	1	SRR1015790	-	Single
inputGSE51621	2	SRR1015791	-	Single
inputGSE55279	1	SRR1175532	-	Single
inputGSE62492	1	SRR1616000	-	Single
inputGSE62492	2	SRR1616004	-	Single
inputGSE63202	1	SRR1648906	-	Single
inputGSE63202	2	SRR1648907	-	Single
inputGSE63202	3	SRR1648908	-	Single
inputGSE64528	1	SRR1735557	-	Single
inputGSE66037	1	SRR1810131	-	Single
inputGSE69043	1	SRR2033042	-	Single
inputGSE69331	1	SRR2043648	-	Single
inputGSE73994	1	SRR2646269	-	Single
inputGSE73994	2	SRR2646279	-	Single
inputGSE74799	1	SRR2930936	-	Single
inputGSE77770	1	SRR3159894	-	Single
inputGSE83860	1	SRR3728865	-	Single
inputGSE83860	2	SRR3728866	-	Single
inputGSE83860	3	SRR3728867	-	Single
inputGSE83860	4	SRR3728868	-	Single
inputGSE85558	1	SRR4025895	-	Single
inputGSE93845	1	SRR5189298	-	Single
LNCaP_AR_ET	1	SRR3728825	-	Single
LNCaP_AR_ET	2	SRR3728826	-	Single
LNCaP_AR_ET	3	SRR3728827	-	Single
LNCaP_AR_ET	4	SRR3728828	-	Single
LNCaP_ARID1A_ET	1	SRR5238076	-	Single
LNCaP_ARID1A_ET	2	SRR5238078	-	Single
LNCaP_HIF1A_ET	1	SRR7192348	-	Single
LNCaP_NMYC_ET	1	SRR7536835	-	Single
LNCaP_XBP1s_ET	1	SRR8115021	-	Single
LNCaP_XBP1s_ET	2	SRR8115023	-	Single
LNCaP_MYBL2_ET	1	SRR8434759	-	Single
LNCaP_MYBL2_ET	2	SRR8434761	-	Single
LNCaP_MED1_ET	1	SRR8451256	-	Single
LNCaP_NKX3_1_ET	1	SRR203391	-	Single
LNCaP_POLR2A_ET	1	SRR203396	-	Single
LNCaP_POLR2A_ET	2	SRR203397	-	Single
LNCaP_PSF_ET	1	SRR772070	-	Single
LNCaP_WDR5_ET	1	SRR1175535	-	Single
LNCaP_CTBP1_ET	1	SRR1390649	-	Single
LNCaP_CTBP2_ET	1	SRR1390650	-	Single
LNCaP_FOXP1_ET	1	SRR1615998	-	Single
LNCaP_RUNX1_ET	1	SRR1616001	-	Single
LNCaP_TOP1_ET	1	SRR1648902	-	Single
LNCaP_MRE11_ET	1	SRR1648884	-	Single
LNCaP_CHD1_ET	1	SRR1735554	-	Single
LNCaP_LSD1_K114me2_ET	1	SRR1735556	-	Single
LNCaP_GATA2_ET	1	SRR2033035	-	Single
LNCaP_TRIM24_ET	1	SRR2043644	-	Single
LNCaP_OCT1_ET	1	SRR3159895	-	Single
LNCaP_FOXA1_ET	1	SRR3728841	-	Single
LNCaP_FOXA1_ET	2	SRR3728842	-	Single
LNCaP_FOXA1_ET	3	SRR3728843	-	Single
LNCaP_FOXA1_ET	4	SRR3728844	-	Single
LNCaP_P65_ET	1	SRR3728877	-	Single
LNCaP_P65_ET	2	SRR3728878	-	Single
LNCaP_P65_ET	3	SRR3728879	-	Single
LNCaP_P65_ET	4	SRR3728880	-	Single
LNCaP_PIAS1_ET	1	SRR3728857	-	Single
LNCaP_PIAS1_ET	2	SRR3728858	-	Single
LNCaP_PIAS1_ET	3	SRR3728859	-	Single
LNCaP_PIAS1_ET	4	SRR3728860	-	Single
LNCaP_MTOR_ET	1	SRR5189294	-	Single
LNCaP_MTOR_ET	1	SRR5189295	-	Single
LNCaP_HOXB13_ET	1	SRR5238088	-	Single
LNCaP_HOXB13_ET	2	SRR5238090	-	Single
LNCaP_HOXB13_ET	3	SRR5238092	-	Single
LNCaP_SMARCA4_ET	1	SRR5238080	-	Single
LNCaP_SMARCA4_ET	2	SRR5238082	-	Single
LNCaP_TLE3_ET	1	SRR5238094	-	Single
LNCaP_TLE3_ET	2	SRR5238096	-	Single
LNCaP_TRIM28_ET	1	SRR5238098	-	Single
LNCaP_TRIM28_ET	2	SRR5238100	-	Single
LNCaP_WDHD1_ET	1	SRR5238102	-	Single
LNCaP_WDHD1_ET	2	SRR5238104	-	Single